token,tfidf_sum
opportunity,372.1411666191441
team,371.8745286909252
responsibilities,371.40416243340627
growth,371.20834668776877
support,370.8950444427452
development,370.382260912667
skills,369.5246873688503
knowledge,367.9606257673796
experience,367.7964629872082
innovation,366.0401879132533
preferred,364.6100760052907
dynamic,363.6189798360419
collaboration,363.1121045160382
paced,361.9521453417168
fast paced,361.9521453417168
fast,361.9521453417168
strategy,361.3729391118506
required,361.1137845042388
candidates,104.9751703288254
looking,104.9751703288254
support skills,63.069161498424116
development experience,60.650549433491136
opportunity opportunity,60.56127122996542
growth growth,60.34345108674166
responsibilities development,60.221478000289586
skills support,60.17827109780175
experience experience,60.12492607075346
team team,60.09020931159803
team opportunity,60.0665506815243
innovation support,60.02521481465032
development opportunity,59.97115054304943
preferred development,59.88548409995311
opportunity team,59.66968856240114
knowledge responsibilities,59.57214987938049
development skills,59.53652326983181
paced preferred,59.41104582075288
knowledge team,59.40326954195623
innovation growth,59.36851603698516
responsibilities knowledge,59.345023565107525
development development,59.248079209912895
opportunity support,59.24720029175554
preferred experience,59.223209395829876
support support,59.22220208333557
support knowledge,59.2086629358015
growth preferred,59.184910252860895
innovation team,59.17839626383198
innovation opportunity,59.1653722451321
team fast,59.04452034299362
growth responsibilities,59.012656980968416
knowledge knowledge,58.95640309796291
